age_group,statefip,poverty_rate,ubi
adult,11,0.1562068365866988,1000
adult,12,0.13777856082482104,1000
adult,13,0.11693169019013483,1000
adult,15,0.12238399609405348,1000
adult,16,0.07732567901179117,1000
adult,17,0.09983694388814524,1000
adult,18,0.08559368951475203,1000
adult,19,0.06328587468312932,1000
adult,20,0.06590375543692996,1000
adult,21,0.10160474988697109,1000
adult,22,0.13484677701492934,1000
adult,23,0.0803104662231753,1000
adult,24,0.11850679754725531,1000
adult,25,0.10491271117434328,1000
adult,26,0.08797788528986711,1000
adult,27,0.06032290993041533,1000
adult,28,0.13139051516732303,1000
adult,29,0.07872988872739428,1000
adult,30,0.08277706299870363,1000
adult,31,0.07997093935429385,1000
adult,32,0.11915990668518217,1000
adult,33,0.07449170504370498,1000
adult,34,0.11664118991839732,1000
adult,35,0.1122722321189555,1000
adult,36,0.1330489547928044,1000
adult,37,0.11676129603648047,1000
adult,38,0.0870237350806731,1000
adult,39,0.08855430782777961,1000
adult,40,0.09461265543060492,1000
adult,41,0.10474975265416488,1000
adult,42,0.09336281825674554,1000
adult,44,0.06471627867540261,1000
adult,45,0.11796347390797375,1000
adult,46,0.07862258071097869,1000
adult,47,0.0956303184641288,1000
adult,48,0.12318914883949626,1000
adult,49,0.07691049736134555,1000
adult,50,0.08841648459401504,1000
adult,51,0.10159568069916872,1000
adult,53,0.07294828045322115,1000
adult,54,0.10485586114021829,1000
adult,55,0.0698456538722435,1000
adult,56,0.09212135393017215,1000
child,1,0.12308697138748294,1000
child,2,0.11725162234611972,1000
child,4,0.09009649917468725,1000
child,5,0.09118608672191669,1000
child,6,0.1634417178005392,1000
child,8,0.08859816742617409,1000
child,9,0.12097341159088165,1000
child,10,0.08467121567293404,1000
child,11,0.139637175174193,1000
child,12,0.14064763810270697,1000
child,13,0.1304482440167355,1000
child,15,0.12591608540089855,1000
child,16,0.05023552610341069,1000
child,17,0.09688078658339118,1000
child,18,0.10659062869940647,1000
child,19,0.06631636796662375,1000
child,20,0.05040975134565497,1000
child,21,0.08342928873893862,1000
child,22,0.15978517416317414,1000
child,23,0.0715878499528904,1000
child,24,0.09249224724592277,1000
child,25,0.08288021529663406,1000
child,26,0.0838290317401336,1000
child,27,0.04037048959778103,1000
child,28,0.12833396968022914,1000
child,29,0.06703098816854641,1000
child,30,0.06752955663080504,1000
child,31,0.07576803757741017,1000
child,32,0.09724408470251222,1000
child,33,0.06579739153721502,1000
child,34,0.11802420255111501,1000
child,35,0.10416532240060664,1000
child,36,0.13905538799016934,1000
child,37,0.10429840370384616,1000
child,38,0.07661690237848462,1000
child,39,0.08537539695949138,1000
child,40,0.07768245353763956,1000
